Comment,Sentiment
airshows are often about show off bragging and the exhibition of the best you got surely the boeing dreamliner i loooove this plane did all of those demonstrating a near vertical climbout after takeoff is definitely showing the planes magnificent performance  when it is not carrying max take off weight i adored the video  loved it,LABEL_2
make a vietnam 773,LABEL_1
i am waiting for similar video about the 777 8 9 x ,LABEL_1
can not wait to see the b787 10 in singapore airlines livery ,LABEL_2
did they founded the malaysia plane yet ,LABEL_1
great planes ,LABEL_2
,LABEL_1
wonder if the titan hull had the same precautions taken as far as limiting uv exposure ,LABEL_1
,LABEL_1
,LABEL_1
the 787 also compares the wind on the flight plan to the track gps correction angles and gps ground speed it is a composite it is very smart ,LABEL_2
